CustomerID,TotalSpend,OrderCount,LastPurchase,FirstPurchase,DaysSinceLastPurchase,Churned
C10126,1349.8,1,2023-06-18,2023-06-18,744,True
C10154,1303.04,1,2024-07-29,2024-07-29,337,True
C10642,922.74,1,2024-06-12,2024-06-12,384,True
C10787,1099.28,1,2023-10-23,2023-10-23,617,True
C10866,789.5699999999999,1,2023-12-26,2023-12-26,553,True
C11210,454.6,1,2024-09-09,2024-09-09,295,True
C11415,2876.2,1,2024-03-15,2024-03-15,473,True
C11473,146.82,1,2023-12-28,2023-12-28,551,True
C11665,337.38,1,2023-04-28,2023-04-28,795,True
C11829,279.14,1,2025-05-04,2025-05-04,58,False
C11921,452.7,1,2024-11-29,2024-11-29,214,True
C11985,30.44,1,2023-10-07,2023-10-07,633,True
C12245,815.58,1,2023-05-17,2023-05-17,776,True
C12301,531.74,1,2023-09-11,2023-09-11,659,True
C12388,2683.6,1,2023-05-01,2023-05-01,792,True
C12408,161.54,1,2023-08-26,2023-08-26,675,True
C12459,284.16,1,2024-09-06,2024-09-06,298,True
C12472,252.93,1,2024-02-25,2024-02-25,492,True
C12479,124.1,1,2023-10-02,2023-10-02,638,True
C12607,281.52,1,2023-04-05,2023-04-05,818,True
C13169,536.07,1,2023-11-15,2023-11-15,594,True
C13186,889.68,1,2023-08-29,2023-08-29,672,True
C13296,108.82,1,2023-06-03,2023-06-03,759,True
C13324,1199.48,1,2025-03-15,2025-03-15,108,True
C13366,2714.2,1,2023-07-06,2023-07-06,726,True
C13540,1239.64,1,2023-06-04,2023-06-04,758,True
C13923,118.8,1,2023-10-08,2023-10-08,632,True
C14017,1248.32,1,2023-05-09,2023-05-09,784,True
C14080,283.69,1,2024-06-27,2024-06-27,369,True
C14240,491.11,1,2023-05-03,2023-05-03,790,True
C14553,440.1899999999999,1,2024-09-09,2024-09-09,295,True
C14600,441.8,1,2023-07-20,2023-07-20,712,True
C14683,1069.34,1,2025-06-11,2025-06-11,20,False
C14847,779.0,1,2024-12-19,2024-12-19,194,True
C15017,675.57,1,2025-05-02,2025-05-02,60,False
C15228,1422.42,1,2024-02-19,2024-02-19,498,True
C15257,580.2,1,2025-03-21,2025-03-21,102,True
C15283,381.02,1,2023-11-25,2023-11-25,584,True
C15629,912.4499999999999,1,2023-04-16,2023-04-16,807,True
C15924,245.89,1,2024-12-19,2024-12-19,194,True
C16012,630.82,1,2025-03-28,2025-03-28,95,True
C16429,679.65,1,2024-03-26,2024-03-26,462,True
C16758,188.31,1,2024-11-01,2024-11-01,242,True
C16775,3353.75,1,2023-03-27,2023-03-27,827,True
C17075,1259.04,1,2024-07-25,2024-07-25,341,True
C17103,1278.36,1,2024-01-05,2024-01-05,543,True
C17136,641.96,1,2023-07-26,2023-07-26,706,True
C17470,461.9,1,2024-10-30,2024-10-30,244,True
C18105,2332.08,1,2024-10-25,2024-10-25,249,True
C18138,1618.38,1,2023-04-06,2023-04-06,817,True
C18167,887.84,1,2024-03-17,2024-03-17,471,True
C18187,605.28,1,2024-11-18,2024-11-18,225,True
C18820,2573.0,1,2023-06-12,2023-06-12,750,True
