YearMonth,TotalPrice
2023-01,13339.68
2023-02,8396.83
2023-03,16099.56
2023-04,13776.880000000001
2023-05,28673.9
2023-06,21098.47
2023-07,24352.3
2023-08,18145.2
2023-09,5640.58
2023-10,36899.08
2023-11,17831.63
2023-12,11424.24
2024-01,18058.81
2024-02,10199.14
2024-03,19015.829999999998
2024-04,15864.21
2024-05,13080.220000000001
2024-06,22831.88
2024-07,16281.54
2024-08,7533.540000000001
2024-09,17641.81
2024-10,20036.04
2024-11,16694.19
2024-12,22141.39
2025-01,7270.75
2025-02,10045.18
2025-03,15527.5
2025-04,6543.05
2025-05,15045.26
2025-06,19271.21
